Status,Tag Code,State,Agency,Rearing Code,Location (Facility or Wild Stock),Year Brood,Stock,Ancestry,Species,Stage,Weight,Length,Year Released,Release Site,Date Last Released,Ad Clipped and Tagged,Total Released,Experiment Code,Region Released,Mark Code,Thermal Mark Hatch Code,Thermal Mark RBr,Mark ID,Comment (PSMFC),,,Row Labels
TAGGED,42513,AK,ADFG,H,CRYSTAL LAKE,1983,ANDREW+CRYSTAL,ANDREW CR 108-40,CHINOOK,SMOLT       ,22.9,,1985,CRYSTAL CR 106-44,5/13/1985,9438,45000,,1,AD,,,,,,,HERRING COVE 101-45
TAGGED,42540,AK,ADFG,H,CRYSTAL LAKE,1984,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,9.7,,1986,CRYSTAL CR 106-44,5/19/1986,10580,93000,,1,AD,,,,,,,HOMER SPIT 241-13
TAGGED,42321,AK,ADFG,H,CRYSTAL LAKE,1984,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,10,,1986,CRYSTAL CR 106-44,5/19/1986,10482,98000,,1,AD,,,,,,,INDIAN LK 111-33
TAGGED,42531,AK,ADFG,H,CRYSTAL LAKE,1984,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,10.4,,1986,CRYSTAL CR 106-44,5/19/1986,10247,75000,,1,AD,,,,,,,INDIAN R 112-42
TAGGED,42530,AK,ADFG,H,CRYSTAL LAKE,1984,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,10.7,,1986,CRYSTAL CR 106-44,5/19/1986,10516,85000,,1,AD,,,,,,,ISLAND LK 259-10
TAGGED,42731,AK,ADFG,H,CRYSTAL LAKE,1985,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,15.6,,1987,CRYSTAL CR 106-44,5/1/1987,10634,80000,,1,AD,,,,,,,ISLAND LK CR 259-10
TAGGED,42732,AK,ADFG,H,CRYSTAL LAKE,1985,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,15.6,,1987,CRYSTAL CR 106-44,5/1/1987,5382,40000,,1,AD,,,,,,,JETTY CR 109-10
TAGGED,42733,AK,ADFG,H,CRYSTAL LAKE,1985,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,16.2,,1987,CRYSTAL CR 106-44,5/14/1987,26149,307000,,1,AD,,,,,,,KASITSNA BAY CR 241-16
TAGGED,042734*1,AK,ADFG,H,CRYSTAL LAKE,1985,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,16.7,,1987,CRYSTAL CR 106-44,5/14/1987,5483,5544,O,1,AD,,,,,,,KASNYKU BAY 112-11
TAGGED,42960,AK,ADFG,H,CRYSTAL LAKE,1986,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,16.6,,1988,CRYSTAL CR 106-44,4/18/1988,31107,550000,,1,AD,,,,,,,KETCHIKAN CR 101-47
