species,run,brood_year,year,first_release_date,last_release_date,mon,release_stage,rearing_type,avg_weight,avg_length,cwt_1st_mark_count,cwt_2nd_mark_count,non_cwt_1st_mark_count,non_cwt_2nd_mark_count,total,release_location_name,hatchery_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,area,areaID,run2
1,1,2001,2002,20021104,20021114,11,S,H,50.85,,55447,,241404,1494,298345,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,1,2001,2003,20030215,20030221,2,S,H,48.46,,31145,1019,261740,4523,298427,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,3,1973,1974,197406,19740611,6,S,H,5.01,,100503,,196253,1696,298452,,H-Capilano River H,BC,GST,GSMN,S_SEA,5,3
1,3,2008,2009,20091106,20091106,11,S,H,49.63,,27182,,244941,26585,298708,,ELK R HATCHERY,OR,SOOR,SIXE,NorCA_OR,2,3
1,1,2012,2013,20131031,20131031,10,S,H,57.13,,46480,,252279,,298759,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,3,1972,1973,197306,19730611,6,S,H,5.34,,80945,,215520,2502,298967,,H-Capilano River H,BC,GST,GSMN,S_SEA,5,3
1,1,2009,2011,20110316,20110322,3,S,H,48.46,,31534,,257442,10018,298994,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,3,1972,1973,197306,19730619,6,S,H,5.5,,40054,,259258,,299312,,H-Robertson Creek H,BC,WCVI,SWVI,WCVI_BC,6,3
1,1,2012,2013,20131101,20131101,11,S,H,54.85,,29030,,270289,,299319,WILLAMETTE R M FK-1,DEXTER PONDS (WILLAM,OR,LOCR,WILL,CR,3,1
1,1,1996,1997,19971028,19971101,11,S,H,54.26,,52336,1959,2829,242445,299569,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,1,2010,2012,20120518,20120518,5,S,H,23,,15054,,284613,,299667,,TAMGAS CREEK,AK,SEAK,SESE,SEAK,7,1
1,1,1989,1991,19910305,19910306,3,S,H,43.36,,96647,187,1772,201109,299715,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,1,2002,2003,20031103,20031105,11,S,H,51.78,,45641,,250611,3602,299854,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,1,1996,1998,19980204,19980218,2,S,H,53.11,,29508,,2028,268698,300234,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,1,2000,2002,20020205,20020211,2,S,H,49.68,,29691,,263287,7285,300263,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,3,1980,1981,19810416,19810527,5,S,H,,,19091,,278083,3186,300360,ABERNATHY CR 25.0297,ABERNATHY SCDC HATCH,WA,LOCR,GREL,CR,3,3
1,3,1984,1985,19850616,19850621,6,S,H,15.5,,23714,,276837,,300551,,H-Quinsam River H,BC,JNST,JNSTG,S_SEA,5,3
1,1,1994,1996,19960605,19960605,6,S,H,28.4,,21752,,277823,1001,300576,,HIDDEN FALLS,AK,SEAK,SENE,SEAK,7,1
1,1,1992,1993,19930813,19930813,8,S,H,38.5,,46472,,3952,250178,300602,CLACKAMAS R,CLACKAMAS HATCHERY,OR,LOCR,WILL,CR,3,1
1,3,1990,1991,19910812,19910812,8,S,H,24.39,,50783,127,1523,248212,300645,BIG CR (LWR COL R),BIG CR HATCHERY,OR,LOCR,YOCL,CR,3,3
1,8,2008,2010,20100303,20100310,3,S,H,48.31,,300737,,,,300737,UMATILLA R,UMATILLA HATCHERY,OR,CECR,UMAT,CR,3,9
1,3,1988,1989,19890918,19890929,9,S,H,34.21,,27027,239,120,273360,300746,,ELK R HATCHERY,OR,SOOR,CHET,NorCA_OR,2,3
1,3,1980,1981,19810810,19810811,8,G,H,9.62,,49111,,250651,1105,300867,,QUINAULT NFH -COOK C,WA,NWC,,WA,4,3
1,3,1984,1985,19850528,19850605,6,G,H,6.13,,29388,,269062,2730,301180,,PUYALLUP TRIBAL HATCHERY,WA,MPS,PUYA,S_SEA,5,3
1,1,1992,1994,19940308,19940308,3,S,H,48.82,,26418,168,1314,273461,301361,YOUNGS R & BAY,CEDC YOUNGS BAY NET,OR,LOCR,YOCL,CR,3,1
1,1,2005,2007,20070214,20070217,2,S,H,43.78,,30678,61,270520,123,301382,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,1,1995,1997,19970521,19970521,5,S,H,23,,27162,,274469,82,301713,,MEDVEJIE,AK,SEAK,SENW,SEAK,7,1
1,1,2000,2001,20011029,20011105,11,S,H,53.81,,54289,,247464,,301753,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,1,1991,1992,19920623,19920623,6,S,H,25.9,,26352,,85,275349,301786,YOUNGS R & BAY,KLASKANINE S FK POND,OR,LOCR,YOCL,CR,3,1
1,8,1991,1992,19920518,19920518,5,S,H,6.75,,30924,207,207,270493,301831,UMATILLA R,UMATILLA HATCHERY,OR,CECR,UMAT,CR,3,9
1,3,2012,2013,20130523,20130610,6,G,H,7.56,,51914,,248408,1678,302000,,KALAMA CR HATCHERY,WA,SPS,NISQ,S_SEA,5,3
1,1,1991,1992,19920824,19920824,8,S,H,31.52,,45463,971,1677,253981,302092,CLACKAMAS R,CLACKAMAS HATCHERY,OR,LOCR,WILL,CR,3,1
1,1,2003,2004,20041101,20041105,11,S,H,56.28,,49484,210,252562,,302256,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,8,1991,1992,19920518,19920518,5,S,H,7.05,,30365,,1743,270447,302555,UMATILLA R,UMATILLA HATCHERY,OR,CECR,UMAT,CR,3,9
1,1,1994,1996,19960605,19960605,6,S,H,27.5,,20384,,280668,1605,302657,,HIDDEN FALLS,AK,SEAK,SENE,SEAK,7,1
1,1,1998,1999,19991026,19991031,10,S,H,57.27,,49061,317,250996,2286,302660,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,1,2001,2003,20030327,20030327,3,S,H,39.24,,25097,,276452,1385,302934,BLIND SL (LWR COL R),CEDC YOUNGS BAY NET,OR,LOCR,YOCL,CR,3,1
1,1,2007,2008,20080714,20080714,7,S,H,13.11,,23632,,278754,832,303218,,MEDVEJIE,AK,SEAK,SENW,SEAK,7,1
1,1,2003,2004,20040713,20040713,7,S,H,25.18,,56052,,242099,5469,303620,CLACKAMAS R,CLACKAMAS HATCHERY,OR,LOCR,WILL,CR,3,1
1,3,1985,1986,19860616,19860617,6,S,H,11.7,,20096,,283618,,303714,,H-Quinsam River H,BC,JNST,JNSTG,S_SEA,5,3
1,1,2007,2008,20081027,20081027,10,S,H,49.46,,53618,,249845,284,303747,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,1,2009,2010,20101029,20101101,11,S,H,56.98,,55843,,247651,264,303758,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,3,1984,1985,19850623,19850701,7,S,H,7.8,,25605,,277709,483,303797,,H-Big Qualicum River H,BC,GST,GSVI,S_SEA,5,3
1,1,2008,2010,20100601,20100601,6,S,H,23.7,,32418,,271383,,303801,,PORT SAINT NICHOLAS,AK,SEAK,SEAK,SEAK,7,1
1,8,1993,1994,19940523,19940523,5,S,H,6.39,,30950,,272893,,303843,UMATILLA R,UMATILLA HATCHERY,OR,CECR,UMAT,CR,3,9
1,8,1991,1992,19920518,19920518,5,S,H,7.16,,29066,,1597,273215,303878,UMATILLA R,UMATILLA HATCHERY,OR,CECR,UMAT,CR,3,9
1,3,1985,1986,19860616,19860617,6,S,H,11.7,,20110,,283815,,303925,,H-Quinsam River H,BC,JNST,JNSTG,S_SEA,5,3
1,1,1987,1989,19890309,19890309,3,S,H,45.86,,15417,61,632,287843,303953,CLACKAMAS R,CLACKAMAS HATCHERY,OR,LOCR,WILL,CR,3,1
1,3,1981,1982,19820813,19820813,8,P,H,11.64,,35701,,261270,7055,304026,,QUINAULT LK HATCHERY,WA,NWC,,WA,4,3
1,1,2012,2014,20140129,20140129,1,S,H,40.86,,98681,541,201516,3434,304172,MCKENZIE R 1,MCKENZIE HATCHERY,OR,LOCR,WILL,CR,3,1
1,1,1998,1999,19990802,19990802,8,S,H,48.67,,29470,234,265651,8843,304198,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,3,1989,1990,19900527,19900530,5,G,H,9.27,,84707,,211624,7869,304200,,ENETAI HATCHERY,WA,HOOD,SKDO,S_SEA,5,3
1,3,1982,1983,198305,19830516,5,S,H,8.5,,36234,,267486,681,304401,,H-Quinsam River H,BC,JNST,JNSTG,S_SEA,5,3
1,3,1985,1986,19860616,19860617,6,S,H,11.7,,20145,,284309,,304454,,H-Quinsam River H,BC,JNST,JNSTG,S_SEA,5,3
1,1,1997,1998,19981026,19981102,11,S,H,53.24,,283842,2235,18359,160,304596,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,1,2010,2011,20111028,20111028,10,S,H,52.5,,51248,,253222,620,305090,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,3,2013,2014,20140522,20140522,5,G,H,6.3,,76285,,228981,,305266,SAN JOAQ SHRM ISL NET PEN,MOK R FISH INS,CA,SJOA,SJR,CenCA,1,3
1,1,1987,1989,19890320,19890321,3,P,H,23.28,,59529,,245170,601,305300,E FK SALMON R,SAWTOOTH HATCHERY,ID,SNAK,SALM,CR,3,1
1,1,1992,1993,19930610,19930610,6,S,H,7.19,,221872,,80036,3492,305400,KLICKITAT R  30.0002,KLICKITAT HATCHERY (YKFP),WA,CECR,KLIC,CR,3,1
1,1,2008,2010,20100205,20100208,2,S,H,50.06,,55897,,249743,,305640,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,3,2007,2008,20080603,20080606,6,V,H,10.07,,76409,,30,229335,305774,SAN PABLO BAY NET PENS,MOK R FISH INS,CA,CECA,SFBA,CenCA,1,3
1,8,1993,1994,19940523,19940523,5,S,H,6.32,,28474,117,277534,,306125,UMATILLA R,UMATILLA HATCHERY,OR,CECR,UMAT,CR,3,9
1,3,1981,1982,19820412,19820413,4,G,H,5.75,,46707,,258374,1198,306279,UMATILLA R,SPRING CR NFH,OR,CECR,UMAT,CR,3,3
1,3,1994,1995,19950531,19950607,6,S,H,5.8,,24501,,281685,160,306346,,H-Chilliwack River H,BC,FRTH,LWFR,S_SEA,5,3
1,1,1993,1995,19950420,19950420,4,S,H,24.21,,25579,,280110,770,306459,ICICLE CR    45.0474,LEAVENWORTH HATCHERY,WA,UPCR,WECH,CR,3,1
1,8,1991,1992,19920518,19920518,5,S,H,6.62,,31224,,618,274960,306802,UMATILLA R,UMATILLA HATCHERY,OR,CECR,UMAT,CR,3,9
1,1,2013,2015,20150326,20150326,3,S,H,30.04,,25038,522,279739,1534,306833,BLIND SL (LWR COL R),MARION FORKS HATCH,OR,LOCR,YOCL,CR,3,1
1,1,2004,2006,20060420,20060512,5,S,H,65.1,,21270,,285593,21,306884,,MEDVEJIE,AK,SEAK,SENW,SEAK,7,1
1,1,1985,1987,19870514,19870514,5,S,H,16.2,,26149,,280587,264,307000,,CRYSTAL LAKE,AK,SEAK,SESE,SEAK,7,1
1,3,1981,1982,19820601,19820601,6,S,H,5.21,,27460,,279411,1085,307956,GRAYS R -WF  25.0131,GRAYS RIVER HATCHERY,WA,LOCR,GREL,CR,3,3
1,2,2007,2008,20080606,20080606,6,S,H,5,,25053,,282770,253,308076,,H-Snootli Creek H,BC,COBC,CCST,WCVI_BC,6,2
1,1,1990,1991,19910805,19910805,8,S,H,32.66,,49085,593,889,257773,308340,CLACKAMAS R,CLACKAMAS HATCHERY,OR,LOCR,WILL,CR,3,1
1,3,1994,1995,19950531,19950607,6,S,H,5.8,,24677,,283603,151,308431,,H-Chilliwack River H,BC,FRTH,LWFR,S_SEA,5,3
1,3,1989,1990,19900507,19900507,5,S,H,5.56,,26768,67,134,281641,308610,TANNER CR (BNVILLE),BONNEVILLE HATCHERY,OR,LOCR,SAND,CR,3,3
1,1,2006,2008,20080519,20080519,5,S,H,43.1,,24070,,284825,,308895,,MEDVEJIE,AK,SEAK,SENW,SEAK,7,1
1,2,1990,1991,19910604,19910612,6,S,H,6,,18955,,282688,7371,309014,,H-Snootli Creek H,BC,COBC,CCST,WCVI_BC,6,2
1,1,2013,2014,20141031,20141031,10,S,H,56.49,,52099,1761,247075,8487,309422,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
1,3,1988,1989,19890524,19890601,6,S,H,5.9,,24761,,284413,283,309457,,H-Chilliwack River H,BC,FRTH,LWFR,S_SEA,5,3
1,1,2008,2009,20091030,20091101,11,S,H,56.28,,49845,,259204,508,309557,SANTIAM R S FK,SOUTH SANTIAM HATCH,OR,LOCR,WILL,CR,3,1
