Year,area,catch,table,report
1989,6,31311,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1990,6,20731,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1991,6,26897,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1992,6,27791,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1993,6,32401,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1994,6,16655,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1995,6,5341,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1996,6,3636,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1997,6,6490,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1998,6,5305,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1999,6,10199,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2000,6,6537,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2001,6,5305,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2002,6,4794,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2003,6,11006,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2004,6,17000,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2005,6,16369,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2006,6,10976,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2007,6,10084,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2008,6,4808,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2009,6,12442,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2010,6,10366,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2011,6,12248,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2012,6,8232,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2013,6,8553,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2014,6,11287,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
2015,6,12246,Table A12,"PSC, REPORT TCCHINOOK (16)-3"
1975,7,317707,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1976,7,258762,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1977,7,302178,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1978,7,418411,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1979,7,382641,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1980,7,343970,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1981,7,289034,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1982,7,314686,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1983,7,311658,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1984,7,290077,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1985,7,274539,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1986,7,282353,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1987,7,282418,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1988,7,279312,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1989,7,291032,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1990,7,366869,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1991,7,359462,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1992,7,258791,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1993,7,304103,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1994,7,264350,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1995,7,235739,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1996,7,236259,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1997,7,343002,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1998,7,270593,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1999,7,251020,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2000,7,263290,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2001,7,265734,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2002,7,426534,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2003,7,439436,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2004,7,499268,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2005,7,493117,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2006,7,435505,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2007,7,404639,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2008,7,244230,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2009,7,293674,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2010,7,284699,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2011,7,356988,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2012,7,295022,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2013,7,257252,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2014,7,492502,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
2015,7,405331,Table A1,"PSC, REPORT TCCHINOOK (16)-3"
1994,8,98000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
1995,8,33000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
1996,8,56000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
1997,8,39000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
1998,8,58000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
1999,8,45000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2000,8,35000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2001,8,48000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2002,8,89000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2003,8,87000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2004,8,83000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2005,8,115000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2006,8,95000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2007,8,83000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2008,8,80000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2009,8,60000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2010,8,110000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2011,8,110000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2012,8,103000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2013,8,103000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2014,8,140000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
2015,8,120000,website,http://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherySalmon.exvesselquery
