species,run,first_release_date,last_release_date,year,mon1,mon2,day1,day2,total,len_num,wt_len,release_stage,avg_length,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,release_location_name,release_location_state,areaName,area
1,2,19910513,19910524,1991,5,5,13,24,37169,0,0,F,,5000,26624,,,0,5545,,,R-Kitsum Bel Canyon,BC,Bccoast,6
1,2,19910513,19910524,1991,5,5,13,24,32496,0,0,F,,5000,21952,,,0,5544,,,R-Kitsum Bel Canyon,BC,Bccoast,6
1,1,19930415,19930415,1993,4,4,15,15,37642,0,0,Y,,5000,24920,,,0,2470,5000,252,R-Cedar R,BC,Bccoast,6
1,1,19920413,19920422,1992,4,4,13,22,31025,31025,3319675,Y,107,5000,26025,,,,,,,R-Bulkley R Up,BC,Bccoast,6
1,1,19920413,19920422,1992,4,4,13,22,30832,30832,3299024,Y,107,5000,25832,,,,,,,R-Bulkley R Up,BC,Bccoast,6
1,1,19920425,19920519,1992,4,5,25,19,40209,40209,5227170,Y,130,5000,9427,,,0,20735,5000,47,R-Kincolith R,BC,Bccoast,6
1,1,19920425,19920519,1992,4,5,25,19,34893,34893,4536090,Y,130,5000,9158,,,0,20735,,,R-Kincolith R,BC,Bccoast,6
1,2,19920526,19920528,1992,5,5,26,28,32812,0,0,S,,5000,20865,,,0,1802,5000,145,R-Chuckwalla R,BC,Bccoast,6
1,2,19920526,19920528,1992,5,5,26,28,33237,0,0,S,,5000,21200,,,0,1803,5000,234,R-Chuckwalla R,BC,Bccoast,6
1,2,19920526,19920527,1992,5,5,26,27,28833,28833,2364306,S,82,5000,17379,,,5000,1270,0,184,R-Chuckwalla R,BC,Bccoast,6
1,2,19920526,19920527,1992,5,5,26,27,30615,30615,2510430,S,82,5000,19161,,,5000,1270,0,184,R-Chuckwalla R,BC,Bccoast,6
1,2,19910604,19910613,1991,6,6,4,13,376651,0,0,S,,5000,23746,,,0,341118,5000,1787,R-Atnarko R Up,BC,Bccoast,6
1,2,19910604,19910613,1991,6,6,4,13,359283,0,0,S,,5000,22532,,,0,323679,5000,3072,R-Atnarko R Up,BC,Bccoast,6
1,2,19910604,19910613,1991,6,6,4,13,389467,0,0,S,,5000,24576,,,0,353041,5000,1850,R-Atnarko R Up,BC,Bccoast,6
1,2,19910701,19910701,1991,7,7,1,1,159070,0,0,S,,5000,26777,,,0,121606,5000,687,R-Rivers In,BC,Bccoast,6
1,2,199105,19910525,1991,5,5,,25,47827,47827,3730506,S,78,5000,23179,,,0,12680,5000,1968,R-Chuckwalla R,BC,Bccoast,6
1,2,19910621,19910621,1991,6,6,21,21,84794,0,0,S,,5000,25536,,,0,48603,5000,655,R-Rivers In,BC,Bccoast,6
1,1,199104,19910426,1991,4,4,,26,54591,54591,4804008,S,88,5000,26253,,,0,17706,5000,632,R-Hirsch Cr,BC,Bccoast,6
1,1,199104,19910426,1991,4,4,,26,55060,55060,4845280,S,88,5000,26721,,,0,17723,5000,616,R-Hirsch Cr,BC,Bccoast,6
1,1,199105,19910514,1991,5,5,,14,55352,55352,5369144,S,97,5000,27151,,,0,18108,5000,93,R-Hirsch Cr,BC,Bccoast,6
1,1,199105,19910514,1991,5,5,,14,55352,55352,5369144,S,97,5000,27005,,,0,18311,5000,36,R-Hirsch Cr,BC,Bccoast,6
1,2,19910604,19910612,1991,6,6,4,12,364945,0,0,S,,5000,22021,,,0,328414,5000,4510,R-Atnarko R Low,BC,Bccoast,6
1,2,19910604,19910612,1991,6,6,4,12,415317,0,0,S,,5000,25368,,,0,378330,5000,1619,R-Atnarko R Low,BC,Bccoast,6
1,2,19910604,19910612,1991,6,6,4,12,319014,0,0,S,,5000,18955,,,0,282688,5000,7371,R-Atnarko R Low,BC,Bccoast,6
1,1,19910415,19910513,1991,4,5,15,13,659206,659206,69216630,S,105,5000,53806,,,0,594133,5000,1267,R-Kitimat R Up,BC,Bccoast,6
1,1,19910416,19910509,1991,4,5,16,9,1559722,1559722,151293034,S,97,5000,85955,,,0,1463673,5000,94,R-Kitimat R Low,BC,Bccoast,6
1,1,19790510,19790527,1979,5,5,10,27,161771,0,0,S,,5000,71453,,,0,78335,5000,1983,R-Kitimat R,BC,Bccoast,6
1,2,197707,19770717,1977,7,7,,17,58086,0,0,F,,5000,40593,,,0,3770,5000,3723,R-Babine R,BC,Bccoast,6
